Operation,Planned_Population_Group1,Goal1,Rights_Group1,Objective1,Year1,Indicators6,Impact_Indicator_Value_Baseline2,Impact_Indicator_Value_Imp_Target2,Impact_Indicator_Value_Comp_Target2,Impact_Indicator_Value_Mid_Year2,Impact_Indicator_Value_Year_End2,Impact_Indicator_Value_Standard2
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,68.6,80.0,90.0,,,80.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,,,,,,80.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,80.0,85.0,90.0,13.5,16.7,80.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,8.5,20.0,30.0,,,80.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),,,,,,80.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),51.4,55.0,60.0,,,80.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),,,,,,80.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),,,,,,80.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,80.0,85.0,90.0,75.3,58.3,100.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,61.0,70.0,100.0,,,100.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,82.8,100.0,100.0,,,100.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,82.8,100.0,100.0,,,100.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,36.0,44.0,50.0,37.9,0.0,50.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,37.0,40.0,50.0,,,50.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are female,,,,,,50.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are female,,,,,,50.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are qualified,83.0,94.0,100.0,80.1,52.9,70.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are qualified,95.0,95.0,100.0,,,70.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are qualified,,,,,,70.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are qualified,,,,,,70.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of youths aged 15-24 enrolled in certified training,15.0,20.0,30.0,,0.0,50.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of youths aged 15-24 enrolled in certified training,15.0,20.0,30.0,,,50.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,Extent refugee qualifications recognized,,100.0,100.0,34.0,50.0,100.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent refugee qualifications recognized,75.0,,80.0,,,100.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent refugee qualifications recognized,,,,,,100.0
Uganda,"Congolese, Rwandan, Somali, Burundian and other refugees",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent refugee qualifications recognized,,,,,,100.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,72.8,95.0,100.0,82.8,84.7,100.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,74.0,74.0,100.0,,,100.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,84.7,85.0,100.0,,,100.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,84.7,85.0,100.0,,,100.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,25.0,28.0,35.0,38.4,0.0,50.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,,,,,,50.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are female,,,,,,50.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are female,,,,,,50.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are qualified,100.0,100.0,100.0,47.8,98.4,70.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are qualified,88.6,88.6,100.0,,,70.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are qualified,,,,,,70.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are qualified,,,,,,70.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of youths aged 15-24 enrolled in certified training,3.8,5.0,8.0,,0.0,50.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Uganda,Refugees and Asylum Seekers from South Sudan and Sudan,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,0.0,10.0,20.0,13.5,19.2,80.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,11.1,15.0,20.0,,,80.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,20.0,50.0,100.0,79.2,81.7,100.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,55.0,60.0,65.0,,,100.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,81.6,81.6,90.0,,,100.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,81.6,81.6,90.0,,,100.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of youths aged 15-24 enrolled in certified training,15.0,20.0,25.0,,,50.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of youths aged 15-24 enrolled in certified training,,,,,,50.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent persons of concern have access to national education systems,78.0,81.0,89.0,,,80.0
Uganda,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent persons of concern have access to national education systems,78.0,81.0,89.0,,,80.0
United States of America,Displaced Haitians - January 2010 earthquake,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent persons of concern have access to national education systems,15.0,20.0,35.0,,,80.0
United States of America,Displaced Haitians - January 2010 earthquake,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent persons of concern have access to national education systems,15.0,20.0,35.0,,,80.0
United States of America,Refugees and Asylum Seekers in Dominican Republic,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,50.0,50.0,60.0,,,100.0
United States of America,Refugees and Asylum Seekers in Dominican Republic,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
United States of America,Refugees and Asylum Seekers in Dominican Republic,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
United States of America,Refugees and Asylum Seekers in Dominican Republic,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
United States of America,Refugees and Asylum Seekers in Dominican Republic,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,91.0,91.0,100.0,,,100.0
United States of America,Refugees and Asylum Seekers in Dominican Republic,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,91.0,91.0,100.0,,,100.0
United States of America,Refugees and asylum seekers in the Caribbean,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,75.0,95.0,100.0,80.0,95.0,80.0
United States of America,Refugees and asylum seekers in the Caribbean,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,75.0,95.0,100.0,85.0,95.0,100.0
Venezuela,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,80.0,80.0,100.0,79.9,80.0,100.0
Venezuela,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,79.9,80.0,100.0,,,100.0
Venezuela,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Venezuela,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Venezuela,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Venezuela,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,Extent persons of concern have access to national education systems,,,,,,80.0
Venezuela,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,Extent persons of concern have access to national education systems,66.0,70.0,75.0,,,80.0
Venezuela,Refugees and asylum seekers,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,Extent persons of concern have access to national education systems,66.0,70.0,75.0,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,25.0,30.0,50.0,18.4,18.0,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,18.0,22.0,25.0,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,24.0,30.0,40.0,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,24.0,30.0,40.0,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,34.0,50.0,70.0,16.0,16.0,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,50.0,50.0,70.0,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),10.0,30.0,50.0,10.0,10.0,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),25.0,30.0,35.0,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),,,,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 15-59 who are literate (survey),,,,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,80.0,87.0,90.0,63.8,86.6,100.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,75.0,80.0,90.0,,,100.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,75.0,80.0,90.0,,,100.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,75.0,80.0,90.0,,,100.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,75.0,80.0,90.0,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,75.0,80.0,90.0,,,80.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,8.0,20.0,25.0,24.1,24.6,50.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,20.0,30.0,40.0,,,50.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are female,,,,,,50.0
Yemen,Refugees and Asylum Seekers in Yemen,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are female,,,,,,50.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,29.0,40.0,50.0,,,80.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,46.0,60.0,80.0,27.2,29.0,100.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,29.0,50.0,70.0,,,100.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,50.0,75.0,75.0,,,100.0
Zambia,Refugees and asylum seekers in urban areas,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,50.0,75.0,75.0,,,100.0
